sample_name,bacterial_reads,total_ercc_reads,ERCC_mass,total_reads,bacterial_mass
MVIR1-HS1-D12NAS1-MNGS1,472454,6582666,25,31472800,1.794310998
MVIR1-HS1-D1ETA1-MNGS1,20119,858502,25,25084080,0.585875164
MVIR1-HS1-D3ETA1-MNGS1,4484,26742,25,10916650,4.19190786
MVIR1-HS1-D5ETA1-MNGS1,61617,130740,25,30846932,11.78235429
MVIR1-HS1-D7ETA1-MNGS1,26573,249572,25,27815196,2.661857099
MVIR1-HS114-D3ETA1-MNGS1,2767593,760854,25,50045500,90.93705888
MVIR1-HS114-D5ETA1-MNGS1,2929730,667294,25,31391404,109.7615893
MVIR1-HS114-D6ETA1-MNGS1,8512976,1092052,25,44087836,194.884859
MVIR1-HS114-D7ETA1-MNGS1,108260,2501988,25,61889248,1.081739801
MVIR1-HS115-D16ETA1-MNGS1,533416,849964,25,54282666,15.68937037
MVIR1-HS115-D17ETA1-MNGS1,235225,2368824,25,64810526,2.482508198
MVIR1-HS115-D20ETA1-MNGS1,5616897,1887554,25,49709656,74.3938584
MVIR1-HS145-D0NAS1-MNGS1,6682716,242810,25,12341070,688.0602117
MVIR1-HS145-D1ETA1-MNGS1,12836034,343328,25,79551828,934.6771892
MVIR1-HS145-D2ETA1-MNGS1,6358253,31196,25,21178050,5095.407264
MVIR1-HS145-D3ETA1-MNGS1,12402237,287414,25,62209052,1078.778087
MVIR1-HS145-D4ETA1-MNGS1,671154,11688,25,13320830,1435.562115
MVIR1-HS154-D12ETA1-MNGS1,223221,302192,25,82403216,18.46681911
MVIR1-HS154-D13ETA1-MNGS1,107176,9702,2.5,96052634,27.61698619
MVIR1-HS154-D14ETA1-MNGS1,940499,2166772,25,88376650,10.85138399
MVIR1-HS154-D15ETA1-MNGS1,324243,3268288,25,123379276,2.480220531
MVIR1-HS154-D16ETA1-MNGS1,5333064,2005916,25,91635478,66.46669153
MVIR1-HS154-D17ETA1-MNGS1,6793312,19214940,25,78688556,8.838580813
MVIR1-HS154-D19ETA1-MNGS1,2704322,6453328,25,93113612,10.47646269
MVIR1-HS154-D21ETA1-MNGS1,544174,6377594,25,104716182,2.133147704
MVIR1-HS154-D21NAS1-MNGS1,653530,29746,2.5,150000000,54.92587239
MVIR1-HS154-D9ETA1-MNGS1,172903,224728,25,51516940,19.23469706
MVIR1-HS156-D0ETA1-MNGS1,200177,593624,25,12234596,8.43029426
MVIR1-HS156-D0NAS1-MNGS1,3415116,2288534,25,55963380,37.30680864
MVIR1-HS156-D4NAS1-MNGS1,257138,2970664,25,19721936,2.163977481
MVIR1-HS158-D12ETA1-MNGS1,2846013,3433782,25,125231232,20.72068786
MVIR1-HS158-D13ETA1-MNGS1,128458,931880,25,72962792,3.44620552
MVIR1-HS158-D14ETA1-MNGS1,475089,1831346,25,88895782,6.485516664
MVIR1-HS158-D3ETA1-MNGS1,204656,528928,25,14323476,9.673150221
