GL_Gene,GL_Abxclass,GL_Allele
OqxB,Flq,OqxB_49
VanTc,Gly,VanTc3_534
VanTc,Gly,VanTc4_535
VanT,Gly,VanT_1054
VanT,Gly,VanTc_1055
HugA,Bla,HugA_1172
MECA,Bla,MECA_1491
OtrA,Tet,OtrA_1687
TetQ,Tet,TetQ_345
TetB-P,Tet,TetB-P_640
TetT,Tet,TetT_1056
TetS,Tet,TetS_1454
Tet-36,Tet,Tet-36_830
Tet-44,Tet,Tet-44_829
Tet-32,Tet,Tet-32_832
TetM,Tet,TetM_831
TetO,Tet,TetO_834
TetW,Tet,TetW_833
MrdA,Bla,MrdA_836
PenA,Bla,PenA_835
OleB,MLS,OleB_838
OtrB,Tet,OtrB_837
VgaB,MLS,VgaB_579
CarA,MLS,CarA_580
SrmB,MLS,SrmB_581
TlrC,MLS,TlrC_582
Rif,Rif,Rif_575
TlrC2,MLS,TlrC_576
VgaD,MLS,VgaD_577
VgaE,MLS,VgaE_578
VgaA,MLS,VgaA_583
VgaA,MLS,Vgaa-LC_584
Tet-43,Tet,Tet-43_585
TetH,Tet,TetH_302
Tcr-3,Tet,Tcr-3_301
QepA,Flq,QepA_299
QepA,Flq,QepA2_300
LsaA,MLS,LsaA_298
LsaB,MLS,LsaB_306
LsaC,MLS,LsaC_305
MsrC,MLS,MsrC_304
MsrE,MLS,MsrE_303
MsrA,MLS,MsrA_297
MsrD,MLS,MsrD_296
LmrA,MLS,LmrA_1685
Aac6-Aph2,AGly,Aac6-Aph2_1686
FexA,Phe,FexA_1675
AacAad,AGly,Aac6-31_1676
AacAad,AGly,Aac6-Ib_1677
AacAad,AGly,AacA4_1679
AacAad,AGly,AadA10_1680
AacAad,AGly,AadA16_1681
AacAad,AGly,AadA6_1682
AacAad,AGly,AadA7_1683
AacAad,AGly,Ant3''Ih-Aac6-IId_1684
AacAad,AGly,Aac6Ib-cr_1678
TetK,Tet,TetK_1673
TetL,Tet,TetL_1674
Tet-38,Tet,Tet-38_1671
VanS-B,Gly,VanS-B_1672
CmlV,Phe,CmlV_1669
AmpC1,Bla,AmpC1_1670
Tet-42,Tet,Tet-42_1543
BlaA2,Bla,BlaA2_1542
TetA,Tet,TetA_1545
TetA-P,Tet,TetA-P_1544
EreB,MLS,EreB_1539
CmlA,Phe,CmlA1_1537
CmlA,Phe,CmlA5_1538
TetV,Tet,TetV_1541
AmpS,Bla,AmpS_1540
PexA,Phe,PexA_1536
Tet-31,Tet,Tet-31_1535
MefB,MLS,MefB_1203
Tet-33,Tet,Tet-33_1204
EreA,MLS,EreA_839
Tet-40,Tet,Tet-40_1546
MefA,MLS,MefA_1210
TetE,Tet,TetE_1211
FloR,Phe,FloR_1212
TetB,Tet,TetB_1213
TetJ,Tet,TetJ_1057
TetC,Tet,TetC_1051
Dha1,Phe,Dha1_1050
Tet-39,Tet,Tet-39_1049
Tet-30,Tet,Tet-30_1048
TetD,Tet,TetD_1047
Tet-41,Tet,Tet-41_1046
Cml,Phe,Cml_1045
OqxA,Flq,OqxA_1044
CmrA,Phe,CmrA_1053
Cmr,Phe,Cmr_1052
TetG,Tet,TetG_632
TetY,Tet,TetY_633
ACC-1,Bla,ACC-1_621
ACC-1,Bla,ACC-2_622
ACC-1,Bla,ACC-3_623
ACC-1,Bla,ACC-4_624
OCH-2,Bla,OCH-2_625
OCH-2,Bla,OCH-3_626
OCH-2,Bla,OCH-4_627
OCH-2,Bla,OCH-5_628
OCH-2,Bla,OCH-6_629
OCH-2,Bla,OCH-7_630
OCH-2,Bla,OCH-8_631
NorA,Flq,NorA_638
TetX,Tet,TetX_639
AmpH,Bla,AmpH_634
VanS-A,Gly,VanS-A_635
VanS-A,Gly,VanS-Pt_637
VanS-A,Gly,VanS-Pt2_636
Erm38,MLS,Erm38_614
AMPH,Bla,AMPH_615
TetZ,Tet,TetZ_368
CMY-MOX,Bla,CMY-1_362
CMY-MOX,Bla,CMY-10_365
CMY-MOX,Bla,CMY-11_366
CMY-MOX,Bla,CMY-19_367
CMY-MOX,Bla,CMY-8_363
CMY-MOX,Bla,CMY-9_364
CMY-MOX,Bla,MOX-1_355
CMY-MOX,Bla,MOX-2_356
CMY-MOX,Bla,MOX-3_357
CMY-MOX,Bla,MOX-4_358
CMY-MOX,Bla,MOX-5_359
CMY-MOX,Bla,MOX-6_360
CMY-MOX,Bla,MOX-7_361
CMY,Bla,BIL-1_372
CMY,Bla,CFE-1_371
CMY,Bla,CMY-104_451
CMY,Bla,CMY-12_378
CMY,Bla,CMY-13_379
CMY,Bla,CMY-14_380
CMY,Bla,CMY-15_381
CMY,Bla,CMY-16_382
CMY,Bla,CMY-17_383
CMY,Bla,CMY-18_384
CMY,Bla,CMY-2_373
CMY,Bla,CMY-20_385
CMY,Bla,CMY-21_386
CMY,Bla,CMY-22_387
CMY,Bla,CMY-23_388
CMY,Bla,CMY-24_389
CMY,Bla,CMY-25_390
CMY,Bla,CMY-26_391
CMY,Bla,CMY-27_392
CMY,Bla,CMY-28_393
CMY,Bla,CMY-29_394
CMY,Bla,CMY-30_395
CMY,Bla,CMY-31_396
CMY,Bla,CMY-32_397
