sample_name,bacterial_reads,total_ercc_reads,ERCC_conc.x,ERCC_conc.y,ERCC_conc,mass
COMET_water_9,557390,1630,NA,50,50,17097.85276
MVIR1-HS1-D12NAS1-MNGS1,472454,6582666,50,NA,50,3.588621996
MVIR1-HS1-D1ETA1-MNGS1,20119,858502,50,NA,50,1.171750328
MVIR1-HS1-D3ETA1-MNGS1,4484,26742,50,NA,50,8.383815721
MVIR1-HS1-D5ETA1-MNGS1,61617,130740,50,NA,50,23.56470858
MVIR1-HS1-D7ETA1-MNGS1,26573,249572,50,NA,50,5.323714199
MVIR1-HS114-D3ETA1-MNGS1,2767593,760854,50,NA,50,181.8741178
MVIR1-HS114-D5ETA1-MNGS1,2929730,667294,50,NA,50,219.5231787
MVIR1-HS114-D6ETA1-MNGS1,8512976,1092052,50,NA,50,389.7697179
MVIR1-HS114-D7ETA1-MNGS1,108260,2501988,50,NA,50,2.163479601
MVIR1-HS115-D16ETA1-MNGS1,533416,849964,50,NA,50,31.37874075
MVIR1-HS115-D17ETA1-MNGS1,235225,2368824,50,NA,50,4.965016396
MVIR1-HS115-D20ETA1-MNGS1,5616897,1887554,50,NA,50,148.7877168
MVIR1-HS145-D0NAS1-MNGS1,6682716,242810,50,NA,50,1376.120423
MVIR1-HS145-D1ETA1-MNGS1,12836034,343328,50,NA,50,1869.354378
MVIR1-HS145-D2ETA1-MNGS1,6358253,31196,50,NA,50,10190.81453
MVIR1-HS145-D3ETA1-MNGS1,12402237,287414,50,NA,50,2157.556173
MVIR1-HS145-D4ETA1-MNGS1,671154,11688,50,NA,50,2871.12423
MVIR1-HS154-D12ETA1-MNGS1,223221,302192,50,NA,50,36.93363822
MVIR1-HS154-D13ETA1-MNGS1,107176,9702,5,NA,5,55.23397238
MVIR1-HS154-D14ETA1-MNGS1,940499,2166772,50,NA,50,21.70276799
MVIR1-HS154-D15ETA1-MNGS1,324243,3268288,50,NA,50,4.960441063
MVIR1-HS154-D16ETA1-MNGS1,5333064,2005916,50,NA,50,132.9333831
MVIR1-HS154-D17ETA1-MNGS1,6793312,19214940,50,NA,50,17.67716163
MVIR1-HS154-D19ETA1-MNGS1,2704322,6453328,50,NA,50,20.95292537
MVIR1-HS154-D21ETA1-MNGS1,544174,6377594,50,NA,50,4.266295409
MVIR1-HS154-D21NAS1-MNGS1,653530,29746,5,NA,5,109.8517448
MVIR1-HS154-D9ETA1-MNGS1,172903,224728,50,NA,50,38.46939411
MVIR1-HS156-D0ETA1-MNGS1,200177,593624,50,NA,50,16.86058852
MVIR1-HS156-D0NAS1-MNGS1,3415116,2288534,50,NA,50,74.61361728
MVIR1-HS156-D4NAS1-MNGS1,257138,2970664,50,NA,50,4.327954962
MVIR1-HS158-D12ETA1-MNGS1,2846013,3433782,50,NA,50,41.44137572
MVIR1-HS158-D13ETA1-MNGS1,128458,931880,50,NA,50,6.89241104
MVIR1-HS158-D14ETA1-MNGS1,475089,1831346,50,NA,50,12.97103333
MVIR1-HS158-D3ETA1-MNGS1,204656,528928,50,NA,50,19.34630044
MVIR1-HS158-D4ETA1-MNGS1,2074862,8575198,50,NA,50,12.09804135
MVIR1-HS158-D6ETA1-MNGS1,192825,937980,50,NA,50,10.27873729
MVIR1-HS161-D10ETA1-MNGS1,4771609,2618098,50,NA,50,91.12739477
MVIR1-HS161-D11ETA1-MNGS1,1847774,1146924,50,NA,50,80.553463
MVIR1-HS161-D12ETA1-MNGS1,1933826,1549032,50,NA,50,62.42046646
MVIR1-HS161-D13ETA1-MNGS1,11266145,7107988,50,NA,50,79.24988759
MVIR1-HS161-D14NAS1-MNGS1,20265672,69620,5,NA,5,1455.449009
MVIR1-HS161-D16ETA1-MNGS1,6067812,4448404,50,NA,50,68.20212373
MVIR1-HS161-D4NAS1-MNGS1,6507454,549678,5,NA,5,59.19332773
MVIR1-HS161-D7NAS1-MNGS1,1881559,265608,5,NA,5,35.41984805
MVIR1-HS168-D0ETA1-MNGS1,1177424,11976318,50,NA,50,4.915634338
MVIR1-HS168-D0NAS1-MNGS2,7378442,2920502,5,NA,5,12.6321468
MVIR1-HS168-D4NAS1-MNGS1,1070898,2131070,5,NA,5,2.512582881
MVIR1-HS172-D5ETA1-MNGS1,85013,1105178,50,NA,50,3.846122525
MVIR1-HS172-D7ETA1-MNGS1,70688,1759402,50,NA,50,2.008864376
MVIR1-HS172-D8ETA1-MNGS1,3212197,3578980,50,NA,50,44.87587246
MVIR1-HS185-D1ETA1-MNGS1,297251,6166540,50,NA,50,2.41019275
MVIR1-HS185-D4NAS1-MNGS1,24905,2158,5,NA,5,57.70389249
