name,nt_rpm
Klebsiella,38828.80843
Shigella,8300.903326
Allolevivirus,1784.898116
Xenorhabdus,13.50018246
Citrobacter,35.90209627
Enterobacter,170.7641031
Escherichia,149658.2223
Salmonella,760.577598
Vibrio,1.196218699
Pantoea,5.546104875
Cronobacter,9.461002434
Pseudoalteromonas,0.186423693
Pluralibacter,0.372847387
Yersinia,1.103006852
Serratia,4.412027408
Yokenella,0.295170848
Trabulsiella,0.481594541
Kosakonia,8.249248428
Raoultella,5.328610567
Staphylococcus,1539.160618
Pectobacterium,1.833166317
Kinneretia,1.81763101
Edwardsiella,0.947653774
Arsenophonus,1.491389546
Providencia,1.227289314
Kluyvera,11.66701614
Kluyveromyces,0.186423693
Pseudescherichia,0.248564924
Phytobacter,0.13981777
Morganella,0.201959001
Leclercia,3.914897559
Atlantibacter,0.574806388
Erwinia,11.90004575
Candida,17.41508001
Streptococcus,7.845330426
Dickeya,5.250934028
Aeromonas,0.776765389
Tobamovirus,0.932118466
Pseudomonas,0.683553542
Neisseria,0.170888386
Proteus,8.109430658
Paucibacter,0.341776771
Acinetobacter,0.963189082
Thauera,0.201959001
Rubrivivax,0.528200464
Prevotella,0.497129849
Halomonas,0.233029617
Methylorubrum,0.434988618
Enterococcus,0.170888386
Hydrogenophaga,0.233029617
Rhodococcus,0.901047851
Betacoronavirus,72.76738161
Brevundimonas,0.201959001
Caulobacter,0.264100232
Triticum,0.186423693
Sulfuriferula,0.108747154
Methylibium,0.481594541
Mycolicibacterium,0.932118466
Variovorax,0.823371312
Rhizobacter,0.372847387
Cupriavidus,0.55927108
Roseateles,0.217494309
